110.75.172.97 - - [02/Jun/2012:00:04:43 -0400] "GET / HTTP/1.1" 500 790 "-" "Yahoo! Slurp China"
66.249.73.20 - - [02/Jun/2012:02:44:13 -0400] "GET /robots.txt HTTP/1.1" 200 507 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.73.20 - - [02/Jun/2012:02:44:13 -0400] "GET / HTTP/1.1" 500 790 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.73.20 - - [02/Jun/2012:08:14:49 -0400] "GET / HTTP/1.1" 500 790 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.73.20 - - [02/Jun/2012:14:13:07 -0400] "GET / HTTP/1.1" 500 790 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
76.74.252.60 - - [02/Jun/2012:14:15:34 -0400] "GET / HTTP/1.1" 500 1053 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
67.214.123.97 - - [02/Jun/2012:15:53:14 -0400] "GET / HTTP/1.1" 500 790 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.52 Safari/536.5"
67.214.123.97 - - [02/Jun/2012:15:53:15 -0400] "GET / HTTP/1.1" 500 790 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.52 Safari/536.5"
67.214.123.97 - - [02/Jun/2012:15:53:15 -0400] "GET /favicon.ico HTTP/1.1" 304 190 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.52 Safari/536.5"
67.214.123.97 - - [02/Jun/2012:15:53:15 -0400] "GET / HTTP/1.1" 500 790 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.52 Safari/536.5"
67.214.123.97 - - [02/Jun/2012:15:53:15 -0400] "GET / HTTP/1.1" 500 790 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.52 Safari/536.5"
67.214.123.97 - - [02/Jun/2012:15:53:15 -0400] "GET / HTTP/1.1" 500 790 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.52 Safari/536.5"
67.214.123.97 - - [02/Jun/2012:15:53:16 -0400] "GET / HTTP/1.1" 500 790 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.52 Safari/536.5"
67.214.123.97 - - [02/Jun/2012:15:53:16 -0400] "GET / HTTP/1.1" 500 790 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.52 Safari/536.5"
67.214.123.97 - - [02/Jun/2012:15:53:16 -0400] "GET / HTTP/1.1" 500 790 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.52 Safari/536.5"
67.214.123.97 - - [02/Jun/2012:15:53:16 -0400] "GET / HTTP/1.1" 500 790 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.52 Safari/536.5"
66.249.73.20 - - [02/Jun/2012:20:26:11 -0400] "GET / HTTP/1.1" 500 2648 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
