199.21.99.72 - - [16/Jun/2012:10:35:52 -0400] "GET /robots.txt HTTP/1.1" 200 520 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
199.21.99.72 - - [16/Jun/2012:11:42:33 -0400] "GET / HTTP/1.1" 500 2648 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
108.84.128.3 - - [16/Jun/2012:11:51:22 -0400] "GET / HTTP/1.1" 500 2648 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/534.56.5 (KHTML, like Gecko)"
108.84.128.3 - - [16/Jun/2012:11:51:24 -0400] "GET /favicon.ico HTTP/1.1" 200 4584 "http://gradecraft.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/534.56.5 (KHTML, like Gecko)"
108.84.128.3 - - [16/Jun/2012:11:51:26 -0400] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 500 2648 "-" "Coda/2.0 CFNetwork/520.4.3 Darwin/11.4.0 (x86_64) (MacBookPro5%2C3)"
108.84.128.3 - - [16/Jun/2012:11:51:27 -0400] "GET /apple-touch-icon.png HTTP/1.1" 500 2648 "-" "Coda/2.0 CFNetwork/520.4.3 Darwin/11.4.0 (x86_64) (MacBookPro5%2C3)"
141.213.173.2 - - [16/Jun/2012:12:04:47 -0400] "GET / HTTP/1.1" 500 2648 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.54 Safari/536.5"
141.213.173.2 - - [16/Jun/2012:12:04:49 -0400] "GET /favicon.ico HTTP/1.1" 304 190 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.54 Safari/536.5"
141.213.173.2 - - [16/Jun/2012:12:40:51 -0400] "GET / HTTP/1.1" 500 2648 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.54 Safari/536.5"
141.213.173.2 - - [16/Jun/2012:12:41:41 -0400] "GET / HTTP/1.1" 500 2648 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.54 Safari/536.5"
141.213.173.2 - - [16/Jun/2012:17:48:12 -0400] "GET / HTTP/1.1" 500 2721 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/534.56.5 (KHTML, like Gecko)"
141.213.173.2 - - [16/Jun/2012:17:48:14 -0400] "GET /favicon.ico HTTP/1.1" 200 4584 "http://gradecraft.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/534.56.5 (KHTML, like Gecko)"
141.213.173.2 - - [16/Jun/2012:17:48:16 -0400] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 500 2721 "-" "Coda/2.0 CFNetwork/520.4.3 Darwin/11.4.0 (x86_64) (MacBookPro5%2C3)"
141.213.173.2 - - [16/Jun/2012:17:48:17 -0400] "GET /apple-touch-icon.png HTTP/1.1" 500 2721 "-" "Coda/2.0 CFNetwork/520.4.3 Darwin/11.4.0 (x86_64) (MacBookPro5%2C3)"
141.213.173.2 - - [16/Jun/2012:19:34:35 -0400] "GET / HTTP/1.1" 500 2721 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.54 Safari/536.5"
