199.21.99.72 - - [05/Aug/2012:07:12:56 -0400] "GET /robots.txt HTTP/1.1" 200 520 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
99.29.199.118 - - [05/Aug/2012:10:41:39 -0400] "GET / HTTP/1.1" 500 635 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.57 Safari/537.1"
99.29.199.118 - - [05/Aug/2012:10:41:40 -0400] "GET /favicon.ico HTTP/1.1" 200 4584 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.57 Safari/537.1"
141.211.202.34 - - [05/Aug/2012:11:22:12 -0400] "GET / HTTP/1.1" 500 635 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.57 Safari/537.1"
141.211.202.34 - - [05/Aug/2012:11:22:12 -0400] "GET /favicon.ico HTTP/1.1" 200 4584 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.57 Safari/537.1"
141.211.202.34 - - [05/Aug/2012:11:26:17 -0400] "GET / HTTP/1.1" 500 2770 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.57 Safari/537.1"
141.211.202.34 - - [05/Aug/2012:11:34:59 -0400] "GET / HTTP/1.1" 500 2770 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.57 Safari/537.1"
141.211.202.34 - - [05/Aug/2012:11:36:57 -0400] "GET / HTTP/1.1" 500 3003 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.57 Safari/537.1"
67.194.35.183 - - [05/Aug/2012:11:40:18 -0400] "GET / HTTP/1.1" 500 3003 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.57 Safari/537.1"
141.213.168.221 - - [05/Aug/2012:11:48:15 -0400] "GET / HTTP/1.1" 500 2695 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.57 Safari/537.1"
141.213.168.221 - - [05/Aug/2012:11:51:00 -0400] "GET / HTTP/1.1" 500 2695 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/534.56.5 (KHTML, like Gecko)"
