99.26.178.2 - - [08/Sep/2012:10:09:20 -0400] "GET / HTTP/1.1" 302 3254 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/534.56.5 (KHTML, like Gecko)"
141.213.169.85 - - [08/Sep/2012:11:31:18 -0400] "GET / HTTP/1.1" 302 3984 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1"
141.213.169.85 - - [08/Sep/2012:11:31:22 -0400] "GET /cosign/valid?cosign-www.gradecraft.com=MmGjKwsXDSiWQE7DUcbyy2fXfEy16zIXCVQM9--AzaGzigJRYohzXtTXm+n9ipB3uP9BoJ+XQzi-wLR7aBCFUt-XQcvEcyVZPzLaxHyMsB8irMbtzWMZ1JHJ5ZZr&https://www.gradecraft.com/ HTTP/1.1" 301 868 "https://weblogin.umich.edu/?cosign-www.gradecraft.com&https://www.gradecraft.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1"
141.213.169.85 - cholma [08/Sep/2012:11:31:22 -0400] "GET / HTTP/1.1" 200 3268 "https://weblogin.umich.edu/?cosign-www.gradecraft.com&https://www.gradecraft.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1"
141.213.169.85 - cholma [08/Sep/2012:11:31:22 -0400] "GET /assets/application-b31e232e36d3cf572fc58b37827e9e52.css HTTP/1.1" 304 245 "https://www.gradecraft.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1"
141.213.169.85 - cholma [08/Sep/2012:11:31:22 -0400] "GET /assets/application-d13c025db4ff0465addf71a266175e91.js HTTP/1.1" 304 245 "https://www.gradecraft.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1"
141.213.169.85 - cholma [08/Sep/2012:11:31:22 -0400] "GET /uploads/theme/filename/8/superhero.min.css HTTP/1.1" 304 390 "https://www.gradecraft.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1"
141.213.169.85 - cholma [08/Sep/2012:11:31:23 -0400] "GET /predictor.json HTTP/1.1" 404 1044 "https://www.gradecraft.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1"
141.213.169.85 - - [08/Sep/2012:11:42:00 -0400] "GET / HTTP/1.1" 302 3254 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/534.56.5 (KHTML, like Gecko)"
99.9.114.85 - - [08/Sep/2012:13:01:03 -0400] "GET / HTTP/1.1" 302 3984 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:14.0) Gecko/20100101 Firefox/14.0.1"
99.9.114.85 - - [08/Sep/2012:13:01:10 -0400] "GET /cosign/valid?cosign-www.gradecraft.com=w2CgULzunWUTDAXtwWHqb1sL5gbqVQ-XiV8pPbphIQLQsIK9luA9wQ22SUuW0b999xKFMdqNReU5-OvuXxyv0UaDza73Z1SaNh6-mvZMR8XuM1G3G6XcGII59E06&https://www.gradecraft.com/ HTTP/1.1" 301 868 "https://weblogin.umich.edu/?cosign-www.gradecraft.com&https://www.gradecraft.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:14.0) Gecko/20100101 Firefox/14.0.1"
99.9.114.85 - mmanty [08/Sep/2012:13:01:11 -0400] "GET / HTTP/1.1" 302 1348 "https://weblogin.umich.edu/?cosign-www.gradecraft.com&https://www.gradecraft.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:14.0) Gecko/20100101 Firefox/14.0.1"
99.9.114.85 - mmanty [08/Sep/2012:13:01:11 -0400] "GET /dashboard HTTP/1.1" 200 2884 "https://weblogin.umich.edu/?cosign-www.gradecraft.com&https://www.gradecraft.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:14.0) Gecko/20100101 Firefox/14.0.1"
99.9.114.85 - mmanty [08/Sep/2012:13:01:12 -0400] "GET /assets/application-b31e232e36d3cf572fc58b37827e9e52.css HTTP/1.1" 200 46269 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:14.0) Gecko/20100101 Firefox/14.0.1"
99.9.114.85 - mmanty [08/Sep/2012:13:01:12 -0400] "GET /uploads/theme/filename/8/superhero.min.css HTTP/1.1" 304 390 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:14.0) Gecko/20100101 Firefox/14.0.1"
