67.194.245.27 - - [04/Oct/2012:00:01:39 -0400] "GET /dashboard HTTP/1.1" 302 3789 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:13.0) Gecko/20100101 Firefox/13.0"
67.194.245.27 - - [04/Oct/2012:00:01:47 -0400] "GET /cosign/valid?cosign-www.gradecraft.com=DR2I8o5U+-zKHpjbYhdz6jYaBJa53cPlvvHXiwnLzasegchK5mL6+CzO4OZORZbBuMKkFuBTONrud5j6UZw4IYSGm7Myt4d8NYFCbIKgESl5i4rbu8kx0CjHYK7e&https://www.gradecraft.com/dashboard HTTP/1.1" 301 900 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:13.0) Gecko/20100101 Firefox/13.0"
67.194.245.27 - ppicon [04/Oct/2012:00:01:47 -0400] "GET /dashboard HTTP/1.1" 200 5092 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:13.0) Gecko/20100101 Firefox/13.0"
67.194.245.27 - ppicon [04/Oct/2012:00:01:47 -0400] "GET /assets/application-ecd494f92b13eff6c1f1042a0c2c0300.css HTTP/1.1" 304 245 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:13.0) Gecko/20100101 Firefox/13.0"
67.194.245.27 - ppicon [04/Oct/2012:00:01:47 -0400] "GET /assets/application-1c8a7386185fa79b964fbb3a368c2523.js HTTP/1.1" 304 245 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:13.0) Gecko/20100101 Firefox/13.0"
67.194.245.27 - ppicon [04/Oct/2012:00:01:48 -0400] "GET /badges/pos101/phoebe_badge.jpg HTTP/1.1" 304 229 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:13.0) Gecko/20100101 Firefox/13.0"
67.194.245.27 - ppicon [04/Oct/2012:00:01:48 -0400] "GET /assets/stylesheets/cyborg.min.css HTTP/1.1" 404 4288 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:13.0) Gecko/20100101 Firefox/13.0"
67.194.245.27 - ppicon [04/Oct/2012:00:01:48 -0400] "GET /assets/stylesheets/cyborg.min.css HTTP/1.1" 404 1044 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:13.0) Gecko/20100101 Firefox/13.0"
67.194.245.27 - ppicon [04/Oct/2012:00:01:48 -0400] "GET /users/predictor.json?user_id=273 HTTP/1.1" 304 885 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:13.0) Gecko/20100101 Firefox/13.0"
67.194.245.27 - ppicon [04/Oct/2012:00:01:48 -0400] "GET /users/predictor.json?in_progress=true&user_id=273 HTTP/1.1" 304 885 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:13.0) Gecko/20100101 Firefox/13.0"
216.106.154.23 - - [04/Oct/2012:00:01:48 -0400] "GET /dashboard HTTP/1.1" 302 3259 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
67.194.80.16 - - [04/Oct/2012:00:06:04 -0400] "GET /dashboard HTTP/1.1" 302 3789 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
67.194.80.16 - - [04/Oct/2012:00:06:11 -0400] "GET /cosign/valid?cosign-www.gradecraft.com=63r9+oPDyL6tykcKlC9pnPAfoQQqZzPOsncWCd3BiOS7K0K5tzb9v4RBanXoJRjlYcFIZwX3ZJ-ULK6gucTAV12Df2vAZ9D450IgXEs8byYxhWGzVlrxbhMQir85&https://www.gradecraft.com/dashboard HTTP/1.1" 301 900 "https://weblogin.umich.edu/?cosign-www.gradecraft.com&https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
67.194.80.16 - rwstrong [04/Oct/2012:00:06:11 -0400] "GET /dashboard HTTP/1.1" 200 5108 "https://weblogin.umich.edu/?cosign-www.gradecraft.com&https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
67.194.80.16 - rwstrong [04/Oct/2012:00:06:12 -0400] "GET /assets/stylesheets/cyborg.min.css HTTP/1.1" 404 1044 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
67.194.80.16 - rwstrong [04/Oct/2012:00:06:12 -0400] "GET /users/predictor.json?user_id=315 HTTP/1.1" 304 3918 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
67.194.80.16 - rwstrong [04/Oct/2012:00:06:13 -0400] "GET /users/predictor.json?in_progress=true&user_id=315 HTTP/1.1" 304 885 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4"
67.194.108.154 - - [04/Oct/2012:00:06:50 -0400] "GET / HTTP/1.1" 302 3259 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
67.194.44.92 - - [04/Oct/2012:00:12:59 -0400] "GET / HTTP/1.1" 302 3259 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
35.0.106.170 - - [04/Oct/2012:00:25:41 -0400] "GET / HTTP/1.1" 302 3254 "https://sites.google.com/a/umich.edu/polsci101f2012/readings/reading-homework?pli=1" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
35.0.106.170 - - [04/Oct/2012:00:25:49 -0400] "GET /cosign/valid?cosign-www.gradecraft.com=SEF6zrzAmdB8yEJC3F8-EUQ8ptzSjTTa06-2-sW3Jb2wzI8YaPJlJnbZiwKRtQhqTh47pvyrjtHkh3G0tC1Tg7c97kli9PDObUlKwd1kkCYsUas2L8GnXkP6+Y+Q&https://www.gradecraft.com/ HTTP/1.1" 301 868 "https://weblogin.umich.edu/?cosign-www.gradecraft.com&https://www.gradecraft.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
35.0.106.170 - jklig [04/Oct/2012:00:25:49 -0400] "GET / HTTP/1.1" 302 1348 "https://weblogin.umich.edu/?cosign-www.gradecraft.com&https://www.gradecraft.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
35.0.106.170 - jklig [04/Oct/2012:00:25:49 -0400] "GET /dashboard HTTP/1.1" 200 5092 "https://weblogin.umich.edu/?cosign-www.gradecraft.com&https://www.gradecraft.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
35.0.106.170 - jklig [04/Oct/2012:00:25:50 -0400] "GET /assets/stylesheets/cyborg.min.css HTTP/1.1" 404 1198 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
35.0.106.170 - jklig [04/Oct/2012:00:25:50 -0400] "GET /assets/application-ecd494f92b13eff6c1f1042a0c2c0300.css HTTP/1.1" 200 46973 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
35.0.106.170 - jklig [04/Oct/2012:00:25:50 -0400] "GET /assets/application-1c8a7386185fa79b964fbb3a368c2523.js HTTP/1.1" 200 204178 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
35.0.106.170 - jklig [04/Oct/2012:00:25:57 -0400] "GET /badges/pos101/always_learning.png HTTP/1.1" 200 3066 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
35.0.106.170 - jklig [04/Oct/2012:00:25:57 -0400] "GET /badges/pos101/above_and_beyond.png HTTP/1.1" 200 6372 "https://www.gradecraft.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
