67.194.12.52 - - [11/Nov/2012:00:03:46 -0500] "GET / HTTP/1.1" 302 3254 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.25 (KHTML, like Gecko) Version/6.0 Safari/536.25"
67.194.119.149 - - [11/Nov/2012:00:05:57 -0500] "GET / HTTP/1.1" 302 3984 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
67.194.119.149 - - [11/Nov/2012:00:06:03 -0500] "GET /cosign/valid?cosign-www.gradecraft.com=2yosHwZLhvAO2Iqpu0dcWK3ZJcPJCMRAUjXvoNwp19e1abS1aQXUYaZEvfbJtxhgVag88a+zY8fUSAGnz3RdgLLoExwMGQstwBDFpqkHFsl2OOdlnX+sUaEq7gk-&https://www.gradecraft.com/ HTTP/1.1" 301 868 "https://weblogin.umich.edu/?cosign-www.gradecraft.com&https://www.gradecraft.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
67.194.119.149 - maxac [11/Nov/2012:00:06:03 -0500] "GET / HTTP/1.1" 200 4964 "https://weblogin.umich.edu/?cosign-www.gradecraft.com&https://www.gradecraft.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
67.194.119.149 - maxac [11/Nov/2012:00:06:05 -0500] "GET /assets/application-a3ae5c543e1d181d1d7cb923cba7352c.css HTTP/1.1" 304 245 "https://www.gradecraft.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
67.194.119.149 - maxac [11/Nov/2012:00:06:05 -0500] "GET /assets/application-4019f0e2cdfabad442b22c5ea2d0cede.js HTTP/1.1" 304 245 "https://www.gradecraft.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
67.194.119.149 - maxac [11/Nov/2012:00:06:05 -0500] "GET /badges/pos101/phoebe_badge.jpg HTTP/1.1" 404 1012 "https://www.gradecraft.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
67.194.119.149 - maxac [11/Nov/2012:00:06:06 -0500] "GET /badges/pos101/phoebe_badge.jpg HTTP/1.1" 404 1012 "https://www.gradecraft.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
67.194.119.149 - maxac [11/Nov/2012:00:06:06 -0500] "GET /users/predictor.json?in_progress=true&user_id=64 HTTP/1.1" 304 869 "https://www.gradecraft.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
67.194.119.149 - maxac [11/Nov/2012:00:06:06 -0500] "GET /users/predictor.json?user_id=64 HTTP/1.1" 304 1014 "https://www.gradecraft.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1"
67.194.99.183 - - [11/Nov/2012:00:09:51 -0500] "GET / HTTP/1.1" 302 3259 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14"
99.186.113.181 - - [11/Nov/2012:00:17:54 -0500] "GET / HTTP/1.1" 302 3984 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.64 Safari/537.11"
99.186.113.181 - - [11/Nov/2012:00:17:55 -0500] "GET /cosign/valid?cosign-www.gradecraft.com=olYVgcReVYEmKcwdR8ZAlgtStvPQF-z+s7971a8icR1DTuCOYN5o2DVlv3xTwgiRSodhyKx6nb+SED6qx+7naWA9YlzhfTvw9nNdxkNblte-L8Rst74Qu78Dw5Cv&https://www.gradecraft.com/ HTTP/1.1" 301 868 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.64 Safari/537.11"
